timestamp, ref_phi, ref_theta, ref_psi, ref_x, ref_y, ref_z
1728975649.033934060, 0.0128627, -0.0199369, 0, 10.4954, 5.84754, 6.09736
1728975649.035980434, 0.0128627, -0.0199369, 0, 10.4954, 5.84754, 6.09736
1728975649.037924531, 0.0128627, -0.0199369, 0, 10.4954, 5.84754, 6.09736
1728975649.039943293, 0.0128627, -0.0199369, 0, 10.4954, 5.84754, 6.09736
1728975649.041925521, 0.0128627, -0.0199369, 0, 10.4954, 5.84754, 6.09736
1728975649.043927913, 0.0128627, -0.0199369, 0, 10.4954, 5.84754, 6.09736
1728975649.045915190, 0.0128627, -0.0199369, 0, 10.4954, 5.84754, 6.09736
1728975649.047869715, 0.0128627, -0.0199369, 0, 10.4954, 5.84754, 6.09736
1728975649.049914108, 0.0128627, -0.0199369, 0, 10.4954, 5.84754, 6.09736
1728975649.051916317, 0.0128627, -0.0199369, 0, 10.4328, 5.81148, 6.06331
1728975649.053913535, 0.0128627, -0.0199369, 0, 10.4328, 5.81148, 6.06331
1728975649.055916250, 0.0128627, -0.0199369, 0, 10.4328, 5.81148, 6.06331
1728975649.057914186, 0.0128627, -0.0199369, 0, 10.4328, 5.81148, 6.06331
1728975649.059912824, 0.0128627, -0.0199369, 0, 10.4328, 5.81148, 6.06331
1728975649.061920184, 0.0125994, -0.0196111, 0, 10.4328, 5.81148, 6.06331
1728975649.063954517, 0.0125994, -0.0196111, 0, 10.4328, 5.81148, 6.06331
1728975649.065922153, 0.0125994, -0.0196111, 0, 10.4328, 5.81148, 6.06331
1728975649.067938211, 0.0125994, -0.0196111, 0, 10.4328, 5.81148, 6.06331
1728975649.069939224, 0.0125994, -0.0196111, 0, 10.4328, 5.81148, 6.06331
1728975649.071930494, 0.0125994, -0.0196111, 0, 10.4328, 5.81148, 6.06331
1728975649.073946216, 0.0125994, -0.0196111, 0, 10.4328, 5.81148, 6.06331
1728975649.075924665, 0.0125994, -0.0196111, 0, 10.4328, 5.81148, 6.06331
1728975649.077949457, 0.0125994, -0.0196111, 0, 10.4328, 5.81148, 6.06331
1728975649.079919718, 0.0125994, -0.0196111, 0, 10.4328, 5.81148, 6.06331
1728975649.081924155, 0.0125994, -0.0196111, 0, 10.4328, 5.81148, 6.06331
1728975649.083915066, 0.0125994, -0.0196111, 0, 10.4328, 5.81148, 6.06331
1728975649.085916597, 0.0125994, -0.0196111, 0, 10.4328, 5.81148, 6.06331
1728975649.087918180, 0.0125994, -0.0196111, 0, 10.4328, 5.81148, 6.06331
1728975649.089914897, 0.0125994, -0.0196111, 0, 10.4328, 5.81148, 6.06331
1728975649.091916193, 0.0125994, -0.0196111, 0, 10.4328, 5.81148, 6.06331
1728975649.093913888, 0.0125994, -0.0196111, 0, 10.4328, 5.81148, 6.06331
1728975649.095913195, 0.0125994, -0.0196111, 0, 10.4328, 5.81148, 6.06331
1728975649.097924065, 0.0125994, -0.0196111, 0, 10.4328, 5.81148, 6.06331
1728975649.099933417, 0.0125994, -0.0196111, 0, 10.4328, 5.81148, 6.06331
1728975649.101936748, 0.0125994, -0.0196111, 0, 10.3699, 5.7751, 6.02907
1728975649.103959770, 0.0125994, -0.0196111, 0, 10.3699, 5.7751, 6.02907
1728975649.105919956, 0.0125994, -0.0196111, 0, 10.3699, 5.7751, 6.02907
1728975649.107979131, 0.0125994, -0.0196111, 0, 10.3699, 5.7751, 6.02907
1728975649.109931880, 0.0125994, -0.0196111, 0, 10.3699, 5.7751, 6.02907
1728975649.111921547, 0.0123299, -0.0192439, 0, 10.3699, 5.7751, 6.02907
1728975649.113922664, 0.0123299, -0.0192439, 0, 10.3699, 5.7751, 6.02907
1728975649.115922640, 0.0123299, -0.0192439, 0, 10.3699, 5.7751, 6.02907
1728975649.117918408, 0.0123299, -0.0192439, 0, 10.3699, 5.7751, 6.02907
1728975649.119920118, 0.0123299, -0.0192439, 0, 10.3699, 5.7751, 6.02907
1728975649.121917453, 0.0123299, -0.0192439, 0, 10.3699, 5.7751, 6.02907
1728975649.123914344, 0.0123299, -0.0192439, 0, 10.3699, 5.7751, 6.02907
1728975649.125904137, 0.0123299, -0.0192439, 0, 10.3699, 5.7751, 6.02907
1728975649.127912811, 0.0123299, -0.0192439, 0, 10.3699, 5.7751, 6.02907
1728975649.129913982, 0.0123299, -0.0192439, 0, 10.3699, 5.7751, 6.02907
1728975649.131930319, 0.0123299, -0.0192439, 0, 10.3699, 5.7751, 6.02907
1728975649.133962098, 0.0123299, -0.0192439, 0, 10.3699, 5.7751, 6.02907
1728975649.135932079, 0.0123299, -0.0192439, 0, 10.3699, 5.7751, 6.02907
1728975649.137950448, 0.0123299, -0.0192439, 0, 10.3699, 5.7751, 6.02907
1728975649.139928313, 0.0123299, -0.0192439, 0, 10.3699, 5.7751, 6.02907
1728975649.141950543, 0.0123299, -0.0192439, 0, 10.3699, 5.7751, 6.02907
1728975649.143921255, 0.0123299, -0.0192439, 0, 10.3699, 5.7751, 6.02907
1728975649.145936790, 0.0123299, -0.0192439, 0, 10.3699, 5.7751, 6.02907
1728975649.147922439, 0.0123299, -0.0192439, 0, 10.3699, 5.7751, 6.02907
1728975649.149923059, 0.0123299, -0.0192439, 0, 10.3699, 5.7751, 6.02907
1728975649.151920153, 0.0123299, -0.0192439, 0, 10.3064, 5.73841, 5.99465
1728975649.153913200, 0.0123299, -0.0192439, 0, 10.3064, 5.73841, 5.99465
1728975649.155914754, 0.0123299, -0.0192439, 0, 10.3064, 5.73841, 5.99465
1728975649.157914817, 0.0123299, -0.0192439, 0, 10.3064, 5.73841, 5.99465
1728975649.159948296, 0.0123299, -0.0192439, 0, 10.3064, 5.73841, 5.99465
1728975649.161915779, 0.0120532, -0.018834, 0, 10.3064, 5.73841, 5.99465
1728975649.163917425, 0.0120532, -0.018834, 0, 10.3064, 5.73841, 5.99465
1728975649.165913553, 0.0120532, -0.018834, 0, 10.3064, 5.73841, 5.99465
1728975649.167913167, 0.0120532, -0.018834, 0, 10.3064, 5.73841, 5.99465
1728975649.169912794, 0.0120532, -0.018834, 0, 10.3064, 5.73841, 5.99465
1728975649.171955783, 0.0120532, -0.018834, 0, 10.3064, 5.73841, 5.99465
1728975649.173925442, 0.0120532, -0.018834, 0, 10.3064, 5.73841, 5.99465
1728975649.175925143, 0.0120532, -0.018834, 0, 10.3064, 5.73841, 5.99465
1728975649.177923856, 0.0120532, -0.018834, 0, 10.3064, 5.73841, 5.99465
1728975649.179972942, 0.0120532, -0.018834, 0, 10.3064, 5.73841, 5.99465
1728975649.181938509, 0.0120532, -0.018834, 0, 10.3064, 5.73841, 5.99465
1728975649.183965724, 0.0120532, -0.018834, 0, 10.3064, 5.73841, 5.99465
1728975649.185932649, 0.0120532, -0.018834, 0, 10.3064, 5.73841, 5.99465
1728975649.188016956, 0.0120532, -0.018834, 0, 10.3064, 5.73841, 5.99465
1728975649.189924835, 0.0120532, -0.018834, 0, 10.3064, 5.73841, 5.99465
1728975649.191919756, 0.0120532, -0.018834, 0, 10.3064, 5.73841, 5.99465
1728975649.193914763, 0.0120532, -0.018834, 0, 10.3064, 5.73841, 5.99465
1728975649.195914871, 0.0120532, -0.018834, 0, 10.3064, 5.73841, 5.99465
1728975649.197913573, 0.0120532, -0.018834, 0, 10.3064, 5.73841, 5.99465
1728975649.199915583, 0.0120532, -0.018834, 0, 10.3064, 5.73841, 5.99465
1728975649.201918945, 0.0120532, -0.018834, 0, 10.2425, 5.70142, 5.96006
1728975649.203929928, 0.0120532, -0.018834, 0, 10.2425, 5.70142, 5.96006
1728975649.205923537, 0.0120532, -0.018834, 0, 10.2425, 5.70142, 5.96006
1728975649.207924416, 0.0120532, -0.018834, 0, 10.2425, 5.70142, 5.96006
1728975649.209941822, 0.0120532, -0.018834, 0, 10.2425, 5.70142, 5.96006
1728975649.211933732, 0.0117703, -0.0183867, 0, 10.2425, 5.70142, 5.96006
1728975649.213916382, 0.0117703, -0.0183867, 0, 10.2425, 5.70142, 5.96006
1728975649.215924631, 0.0117703, -0.0183867, 0, 10.2425, 5.70142, 5.96006
1728975649.217925324, 0.0117703, -0.0183867, 0, 10.2425, 5.70142, 5.96006
1728975649.219917671, 0.0117703, -0.0183867, 0, 10.2425, 5.70142, 5.96006
1728975649.221957550, 0.0117703, -0.0183867, 0, 10.2425, 5.70142, 5.96006
1728975649.223944024, 0.0117703, -0.0183867, 0, 10.2425, 5.70142, 5.96006
1728975649.225951579, 0.0117703, -0.0183867, 0, 10.2425, 5.70142, 5.96006
1728975649.227920414, 0.0117703, -0.0183867, 0, 10.2425, 5.70142, 5.96006
1728975649.229916886, 0.0117703, -0.0183867, 0, 10.2425, 5.70142, 5.96006
1728975649.231954504, 0.0117703, -0.0183867, 0, 10.2425, 5.70142, 5.96006
1728975649.233947130, 0.0117703, -0.0183867, 0, 10.2425, 5.70142, 5.96006
1728975649.235919544, 0.0117703, -0.0183867, 0, 10.2425, 5.70142, 5.96006
1728975649.237933536, 0.0117703, -0.0183867, 0, 10.2425, 5.70142, 5.96006
1728975649.239918639, 0.0117703, -0.0183867, 0, 10.2425, 5.70142, 5.96006
1728975649.241925593, 0.0117703, -0.0183867, 0, 10.2425, 5.70142, 5.96006
1728975649.243930049, 0.0117703, -0.0183867, 0, 10.2425, 5.70142, 5.96006
1728975649.245923950, 0.0117703, -0.0183867, 0, 10.2425, 5.70142, 5.96006
1728975649.247923735, 0.0117703, -0.0183867, 0, 10.2425, 5.70142, 5.96006
1728975649.249922966, 0.0117703, -0.0183867, 0, 10.2425, 5.70142, 5.96006
1728975649.251924705, 0.0117703, -0.0183867, 0, 10.1781, 5.66413, 5.92529
1728975649.253918544, 0.0117703, -0.0183867, 0, 10.1781, 5.66413, 5.92529
1728975649.255953498, 0.0117703, -0.0183867, 0, 10.1781, 5.66413, 5.92529
